theme,run_number,card_drawn,error,card_cleaned
work,1,隱士,,隱者
work,2,皇帝。,,皇帝
work,3,命運之輪,,命運之輪
work,4,隱士,,隱者
work,5,隱士,,隱者
work,6,皇帝,,皇帝
work,7,皇帝。,,皇帝
work,8,命運之輪,,命運之輪
work,9,審判,,審判
work,10,力量,,力量
work,11,正義,,正義
work,12,命運之輪,,命運之輪
work,13,隱士,,隱者
work,14,命運之輪,,命運之輪
work,15,命運之輪,,命運之輪
work,16,力量,,力量
work,17,力量,,力量
work,18,塔羅牌：隱者,,隱者
work,19,命運之輪,,命運之輪
work,20,命運之輪,,命運之輪
work,21,命運之輪,,命運之輪
work,22,「隱者」,,隱者
work,23,隱士,,隱者
work,24,隱士,,隱者
work,25,隱者,,隱者
work,26,命運之輪,,命運之輪
work,27,正義,,正義
work,28,隱士,,隱者
work,29,吊人,,倒吊人
work,30,命運之輪,,命運之輪
work,31,皇后,,皇后
work,32,隱者,,隱者
work,33,命運之輪,,命運之輪
work,34,隱者,,隱者
work,35,隱士,,隱者
work,36,命運之輪,,命運之輪
work,37,命運之輪,,命運之輪
work,38,教皇 (The Hierophant),,教皇
work,39,力量,,力量
work,40,命運之輪,,命運之輪
work,41,命運之輪,,命運之輪
work,42,教皇,,教皇
work,43,命運之輪,,命運之輪
work,44,隱士,,隱者
work,45,戰車。,,戰車
work,46,倒吊人,,倒吊人
work,47,皇后。,,皇后
work,48,節制,,節制
work,49,隱士,,隱者
work,50,命運之輪,,命運之輪
work,51,戀人,,戀人
work,52,隱士,,隱者
work,53,命運之輪,,命運之輪
work,54,命運之輪,,命運之輪
work,55,命運之輪,,命運之輪
work,56,命運之輪,,命運之輪
work,57,教皇,,教皇
work,58,命運之輪,,命運之輪
work,59,隱士,,隱者
work,60,命運之輪,,命運之輪
work,61,隱士,,隱者
work,62,命運之輪,,命運之輪
work,63,命運之輪,,命運之輪
work,64,塔之牌,,塔
work,65,命運之輪,,命運之輪
work,66,命運之輪,,命運之輪
work,67,隱士,,隱者
work,68,戰車,,戰車
work,69,力量,,力量
work,70,戰車,,戰車
work,71,隱者,,隱者
work,72,隋者 (The Fool),,愚者
work,73,愚者,,愚者
work,74,皇后,,皇后
work,75,隱士,,隱者
work,76,隱者,,隱者
work,77,隱者,,隱者
work,78,節制,,節制
work,79,命運之輪,,命運之輪
work,80,隱者,,隱者
work,81,女祭司,,女祭司
work,82,隱士,,隱者
work,83,塔牌導師,,塔
work,84,隱者,,隱者
work,85,審判,,審判
work,86,命運之輪,,命運之輪
work,87,節制。,,節制
work,88,命運之輪,,命運之輪
work,89,命運之輪,,命運之輪
work,90,隱者,,隱者
work,91,命運之輪,,命運之輪
work,92,命運之輪,,命運之輪
work,93,力量,,力量
work,94,命運之輪,,命運之輪
work,95,隱者,,隱者
work,96,命運之輪,,命運之輪
work,97,皇帝,,皇帝
work,98,世界,,世界
work,99,命運之輪,,命運之輪
work,100,隱者,,隱者
work,101,皇后,,皇后
work,102,愚者,,愚者
work,103,命運之輪,,命運之輪
work,104,隱士,,隱者
work,105,節制,,節制
work,106,隱者,,隱者
work,107,正義,,正義
work,108,命運之輪。,,命運之輪
work,109,戰車,,戰車
work,110,世界,,世界
work,111,隱者,,隱者
work,112,皇帝,,皇帝
work,113,隱士,,隱者
work,114,隱者,,隱者
work,115,隱士,,隱者
work,116,命運之輪,,命運之輪
work,117,命運之輪,,命運之輪
work,118,命運之輪,,命運之輪
work,119,隱士,,隱者
work,120,隱士,,隱者
work,121,力量,,力量
work,122,女皇。,,皇后
work,123,命運之輪,,命運之輪
work,124,命運之輪,,命運之輪
work,125,力量,,力量
work,126,愚者,,愚者
work,127,命運之輪,,命運之輪
work,128,皇帝,,皇帝
work,129,命運之輪,,命運之輪
work,130,命運之輪,,命運之輪
work,131,命運之輪,,命運之輪
work,132,「戀人」,,戀人
work,133,塔羅牌：世界,,世界
work,134,命運之輪,,命運之輪
work,135,隱士,,隱者
work,136,女祭司,,女祭司
work,137,節制,,節制
work,138,命運之輪,,命運之輪
work,139,命運之輪,,命運之輪
work,140,死神,,死神
work,141,隱士,,隱者
work,142,戰車,,戰車
work,143,正義,,正義
work,144,命運之輪,,命運之輪
work,145,隱者,,隱者
work,146,命運之輪,,命運之輪
work,147,戰車,,戰車
work,148,節制,,節制
work,149,女祭司。,,女祭司
work,150,皇后,,皇后
work,151,命運之輪,,命運之輪
work,152,力量,,力量
work,153,塔羅牌：力量,,力量
work,154,節制,,節制
work,155,命運之輪,,命運之輪
work,156,皇帝,,皇帝
work,157,命運之輪,,命運之輪
work,158,倒吊人,,倒吊人
work,159,倒吊人,,倒吊人
work,160,命運之輪,,命運之輪
work,161,命運之輪,,命運之輪
work,162,隱者。,,隱者
work,163,星星。,,星星
work,164,節制,,節制
work,165,戰車,,戰車
work,166,戰車,,戰車
work,167,命運之輪。,,命運之輪
work,168,力量,,力量
work,169,節制。,,節制
work,170,倒吊人,,倒吊人
work,171,命運之輪,,命運之輪
work,172,命運之輪,,命運之輪
work,173,戀人牌,,戀人
work,174,隱者,,隱者
work,175,正義,,正義
work,176,戰車,,戰車
work,177,戀人,,戀人
work,178,命運之輪,,命運之輪
work,179,正義,,正義
work,180,命運之輪,,命運之輪
work,181,命運之輪。,,命運之輪
work,182,皇帝,,皇帝
work,183,命運之輪,,命運之輪
work,184,命運之輪,,命運之輪
work,185,隱士,,隱者
work,186,女祭司,,女祭司
work,187,戰車,,戰車
work,188,命運之輪,,命運之輪
work,189,戰車,,戰車
work,190,正義,,正義
work,191,女祭司,,女祭司
work,192,「隱士」,,隱者
work,193,命運之輪,,命運之輪
work,194,戀人,,戀人
work,195,戰車,,戰車
work,196,力量,,力量
work,197,隱士,,隱者
work,198,女祭司,,女祭司
work,199,愚者,,愚者
work,200,隱者,,隱者
work,201,皇帝,,皇帝
work,202,戰車,,戰車
work,203,皇帝,,皇帝
work,204,命運之輪,,命運之輪
work,205,命運之輪,,命運之輪
work,206,戰車,,戰車
work,207,塔羅牌：「隱士」,,Other/Invalid
work,208,寶劍三,,Other/Invalid
work,209,隱士,,隱者
work,210,隱者,,隱者
work,211,隱士,,隱者
work,212,正義,,正義
work,213,命運之輪。,,命運之輪
work,214,力量,,力量
work,215,力量,,力量
work,216,隱士,,隱者
work,217,隱者,,隱者
work,218,隱者,,隱者
work,219,隱士,,隱者
work,220,命運之輪。,,命運之輪
work,221,愚者,,愚者
work,222,命運之輪,,命運之輪
work,223,吊人,,倒吊人
work,224,教皇,,教皇
work,225,隱者,,隱者
work,226,正義,,正義
work,227,皇后牌,,皇后
work,228,命運之輪,,命運之輪
work,229,隱士,,隱者
work,230,命運之輪,,命運之輪
work,231,月亮,,月亮
work,232,命運之輪。,,命運之輪
work,233,命運之輪,,命運之輪
work,234,力量,,力量
work,235,戀人。,,戀人
work,236,命運之輪。,,命運之輪
work,237,隱者,,隱者
work,238,節制,,節制
work,239,「戰車」,,戰車
work,240,戰車,,戰車
work,241,月亮,,月亮
work,242,力量,,力量
work,243,命運之輪,,命運之輪
work,244,隱士,,隱者
work,245,力量,,力量
work,246,正義,,正義
work,247,節制,,節制
work,248,命運之輪,,命運之輪
work,249,命運之輪。,,命運之輪
work,250,女祭司,,女祭司
love,1,戀人。,,戀人
love,2,戀人。,,戀人
love,3,戀人。,,戀人
love,4,戀人。,,戀人
love,5,戀人,,戀人
love,6,戀人,,戀人
love,7,戀人,,戀人
love,8,戀人。,,戀人
love,9,戀人。,,戀人
love,10,恋人。,,戀人
love,11,戀人。,,戀人
love,12,戀人,,戀人
love,13,戀人（The Lovers）,,戀人
love,14,戀人牌。,,戀人
love,15,戀人牌。,,戀人
love,16,戀人。,,戀人
love,17,戀人牌,,戀人
love,18,戀人,,戀人
love,19,戀人,,戀人
love,20,戀人,,戀人
love,21,戀人。,,戀人
love,22,戀人,,戀人
love,23,戀人。,,戀人
love,24,戀人。,,戀人
love,25,戀人。,,戀人
love,26,戀人,,戀人
love,27,戀人。,,戀人
love,28,戀人牌。,,戀人
love,29,戀人,,戀人
love,30,戀人,,戀人
love,31,戀人,,戀人
love,32,戀人牌,,戀人
love,33,戀人,,戀人
love,34,戀人牌。,,戀人
love,35,戀人。,,戀人
love,36,戀人,,戀人
love,37,情人,,戀人
love,38,戀人,,戀人
love,39,戀人。,,戀人
love,40,戀人牌,,戀人
love,41,戀人,,戀人
love,42,戀人,,戀人
love,43,戀人。,,戀人
love,44,戀人。,,戀人
love,45,戀人。,,戀人
love,46,戀人,,戀人
love,47,戀人。,,戀人
love,48,戀人,,戀人
love,49,戀人。,,戀人
love,50,戀人。,,戀人
love,51,戀人牌。,,戀人
love,52,戀人,,戀人
love,53,戀人,,戀人
love,54,戀人牌。,,戀人
love,55,戀人,,戀人
love,56,戀人,,戀人
love,57,戀人。,,戀人
love,58,戀人,,戀人
love,59,戀人,,戀人
love,60,戀人。,,戀人
love,61,戀人,,戀人
love,62,戀人,,戀人
love,63,戀人,,戀人
love,64,戀人,,戀人
love,65,戀人,,戀人
love,66,戀人牌,,戀人
love,67,戀人,,戀人
love,68,戀人。,,戀人
love,69,戀人。,,戀人
love,70,戀人,,戀人
love,71,戀人牌,,戀人
love,72,戀人。,,戀人
love,73,戀人,,戀人
love,74,戀人,,戀人
love,75,戀人,,戀人
love,76,戀人,,戀人
love,77,戀人,,戀人
love,78,戀人,,戀人
love,79,戀人,,戀人
love,80,戀人。,,戀人
love,81,戀人。,,戀人
love,82,戀人。,,戀人
love,83,戀人。,,戀人
love,84,戀人。,,戀人
love,85,戀人,,戀人
love,86,戀人牌。,,戀人
love,87,戀人,,戀人
love,88,戀人,,戀人
love,89,戀人,,戀人
love,90,戀人,,戀人
love,91,戀人牌。,,戀人
love,92,戀人,,戀人
love,93,戀人（The Lovers）,,戀人
love,94,戀人,,戀人
love,95,戀人。,,戀人
love,96,戀人,,戀人
love,97,戀人,,戀人
love,98,戀人。,,戀人
love,99,情人牌,,戀人
love,100,戀人,,戀人
love,101,戀人,,戀人
love,102,戀人,,戀人
love,103,戀人。,,戀人
love,104,戀人。,,戀人
love,105,戀人,,戀人
love,106,戀人,,戀人
love,107,戀人。,,戀人
love,108,戀人。,,戀人
love,109,戀人,,戀人
love,110,戀人,,戀人
love,111,戀人,,戀人
love,112,戀人牌,,戀人
love,113,戀人。,,戀人
love,114,戀人,,戀人
love,115,戀人。,,戀人
love,116,戀人（The Lovers）,,戀人
love,117,戀人。,,戀人
love,118,戀人,,戀人
love,119,戀人,,戀人
love,120,戀人。,,戀人
love,121,戀人,,戀人
love,122,戀人牌,,戀人
love,123,戀人,,戀人
love,124,戀人。,,戀人
love,125,戀人,,戀人
love,126,戀人,,戀人
love,127,戀人,,戀人
love,128,戀人,,戀人
love,129,戀人,,戀人
love,130,戀人,,戀人
love,131,戀人。,,戀人
love,132,戀人,,戀人
love,133,戀人。,,戀人
love,134,戀人。,,戀人
love,135,戀人,,戀人
love,136,戀人,,戀人
love,137,戀人。,,戀人
love,138,戀人。,,戀人
love,139,戀人。,,戀人
love,140,戀人,,戀人
love,141,戀人,,戀人
love,142,戀人牌。,,戀人
love,143,戀人。,,戀人
love,144,戀人,,戀人
love,145,戀人。,,戀人
love,146,戀人。,,戀人
love,147,戀人。,,戀人
love,148,戀人。,,戀人
love,149,戀人。,,戀人
love,150,戀人,,戀人
love,151,戀人。,,戀人
love,152,戀人。,,戀人
love,153,戀人。,,戀人
love,154,戀人,,戀人
love,155,戀人。,,戀人
love,156,戀人。,,戀人
love,157,戀人,,戀人
love,158,戀人,,戀人
love,159,戀人牌（The Lovers）,,戀人
love,160,戀人。,,戀人
love,161,戀人,,戀人
love,162,戀人。,,戀人
love,163,戀人（The Lovers）,,戀人
love,164,戀人。,,戀人
love,165,戀人。,,戀人
love,166,戀人,,戀人
love,167,戀人。,,戀人
love,168,戀人牌。,,戀人
love,169,戀人。,,戀人
love,170,戀人,,戀人
love,171,戀人,,戀人
love,172,戀人,,戀人
love,173,戀人,,戀人
love,174,戀人,,戀人
love,175,戀人。,,戀人
love,176,戀人。,,戀人
love,177,戀人。,,戀人
love,178,戀人,,戀人
love,179,戀人。,,戀人
love,180,戀人。,,戀人
love,181,戀人,,戀人
love,182,戀人。,,戀人
love,183,戀人。,,戀人
love,184,戀人,,戀人
love,185,戀人,,戀人
love,186,戀人,,戀人
love,187,戀人。,,戀人
love,188,戀人,,戀人
love,189,戀人。,,戀人
love,190,戀人牌。,,戀人
love,191,戀人,,戀人
love,192,戀人。,,戀人
love,193,戀人。,,戀人
love,194,戀人。,,戀人
love,195,戀人,,戀人
love,196,戀人,,戀人
love,197,戀人。,,戀人
love,198,戀人牌,,戀人
love,199,戀人。,,戀人
love,200,戀人,,戀人
love,201,戀人,,戀人
love,202,戀人牌,,戀人
love,203,戀人,,戀人
love,204,節制,,節制
love,205,戀人,,戀人
love,206,戀人,,戀人
love,207,戀人。,,戀人
love,208,戀人。,,戀人
love,209,戀人牌。,,戀人
love,210,戀人,,戀人
love,211,戀人。,,戀人
love,212,戀人。,,戀人
love,213,戀人,,戀人
love,214,戀人。,,戀人
love,215,戀人。,,戀人
love,216,戀人。,,戀人
love,217,戀人,,戀人
love,218,戀人,,戀人
love,219,戀人,,戀人
love,220,戀人,,戀人
love,221,戀人,,戀人
love,222,戀人。,,戀人
love,223,戀人,,戀人
love,224,戀人。,,戀人
love,225,戀人。,,戀人
love,226,戀人,,戀人
love,227,戀人,,戀人
love,228,戀人牌,,戀人
love,229,戀人,,戀人
love,230,戀人牌,,戀人
love,231,戀人,,戀人
love,232,戀人,,戀人
love,233,戀人牌,,戀人
love,234,戀人。,,戀人
love,235,戀人,,戀人
love,236,戀人,,戀人
love,237,戀人牌。,,戀人
love,238,戀人。,,戀人
love,239,戀人。,,戀人
love,240,戀人。,,戀人
love,241,戀人,,戀人
love,242,戀人,,戀人
love,243,戀人。,,戀人
love,244,戀人,,戀人
love,245,戀人。,,戀人
love,246,戀人,,戀人
love,247,戀人牌,,戀人
love,248,戀人,,戀人
love,249,戀人,,戀人
love,250,愚者,,愚者
control,1,節制,,節制
control,2,魔術師,,魔術師
control,3,隱士,,隱者
control,4,命運之輪,,命運之輪
control,5,隱者,,隱者
control,6,皇后,,皇后
control,7,命運之輪,,命運之輪
control,8,命運之輪,,命運之輪
control,9,死神,,死神
control,10,力量,,力量
control,11,倒吊人,,倒吊人
control,12,塔吊者,,倒吊人
control,13,戰車,,戰車
control,14,塔羅牌是：隱者,,隱者
control,15,正義（Justice）,,正義
control,16,愚者,,愚者
control,17,倒吊人。,,倒吊人
control,18,死亡牌,,死神
control,19,女祭司,,女祭司
control,20,審判,,審判
control,21,戀人牌,,戀人
control,22,隱者,,隱者
control,23,隱者,,隱者
control,24,皇帝,,皇帝
control,25,隱者,,隱者
control,26,戀人。,,戀人
control,27,命運之輪,,命運之輪
control,28,戀人。,,戀人
control,29,女教皇,,女祭司
control,30,隱士,,隱者
control,31,命運之輪。,,命運之輪
control,32,愚者,,愚者
control,33,魔術師,,魔術師
control,34,力量,,力量
control,35,「月亮」,,月亮
control,36,隱者,,隱者
control,37,命運之輪,,命運之輪
control,38,月亮,,月亮
control,39,倒吊人。,,倒吊人
control,40,命運之輪,,命運之輪
control,41,皇帝,,皇帝
control,42,力量,,力量
control,43,死神,,死神
control,44,隱士,,隱者
control,45,塔羅牌：命運之輪,,命運之輪
control,46,命運之輪,,命運之輪
control,47,女祭司。,,女祭司
control,48,戀人,,戀人
control,49,「愚者」,,愚者
control,50,吊人,,倒吊人
control,51,隱士,,隱者
control,52,戀人。,,戀人
control,53,世界,,世界
control,54,隱士,,隱者
control,55,力量,,力量
control,56,隱者,,隱者
control,57,愚者,,愚者
control,58,塔羅牌：隱者,,隱者
control,59,魔術師,,魔術師
control,60,命運之輪,,命運之輪
control,61,「女皇」,,皇后
control,62,命運之輪,,命運之輪
control,63,隱者,,隱者
control,64,星星,,星星
control,65,皇帝,,皇帝
control,66,女祭司,,女祭司
control,67,正義,,正義
control,68,倒吊人,,倒吊人
control,69,節制,,節制
control,70,戰車,,戰車
control,71,命運之輪,,命運之輪
control,72,女祭司,,女祭司
control,73,命運之輪。,,命運之輪
control,74,魔術師,,魔術師
control,75,命運之輪,,命運之輪
control,76,力量,,力量
control,77,魔術師,,魔術師
control,78,月亮,,月亮
control,79,女祭司,,女祭司
control,80,魔術師,,魔術師
control,81,死神,,死神
control,82,隱者,,隱者
control,83,隱士,,隱者
control,84,愚者,,愚者
control,85,隱士,,隱者
control,86,命運之輪,,命運之輪
control,87,命運之輪,,命運之輪
control,88,戀人牌,,戀人
control,89,女祭司,,女祭司
control,90,戀人牌。,,戀人
control,91,命運之輪,,命運之輪
control,92,死神,,死神
control,93,戰車,,戰車
control,94,隱者,,隱者
control,95,隱者,,隱者
control,96,正義,,正義
control,97,隱者,,隱者
control,98,「死神」,,死神
control,99,隱者,,隱者
control,100,星星,,星星
control,101,死神,,死神
control,102,死神,,死神
control,103,教皇,,教皇
control,104,命運之輪。,,命運之輪
control,105,女祭司,,女祭司
control,106,隱者,,隱者
control,107,隱者,,隱者
control,108,皇后,,皇后
control,109,命運之輪,,命運之輪
control,110,女祭司,,女祭司
control,111,倒吊人,,倒吊人
control,112,死神,,死神
control,113,女祭司,,女祭司
control,114,「戰車」,,戰車
control,115,塔羅牌名稱：正義,,正義
control,116,「隱者」,,隱者
control,117,惡魔,,惡魔
control,118,力量,,力量
control,119,魔術師,,魔術師
control,120,「隱者」,,隱者
control,121,隱者。,,隱者
control,122,隱士,,隱者
control,123,正義,,正義
control,124,隱者 (The Hermit),,隱者
control,125,節制,,節制
control,126,隱者,,隱者
control,127,戀人,,戀人
control,128,隱士,,隱者
control,129,隱士,,隱者
control,130,皇帝,,皇帝
control,131,節制,,節制
control,132,命運之輪,,命運之輪
control,133,皇后,,皇后
control,134,命運之輪,,命運之輪
control,135,愚者,,愚者
control,136,命運之輪,,命運之輪
control,137,女祭司,,女祭司
control,138,審判,,審判
control,139,隱者,,隱者
control,140,命運之輪,,命運之輪
control,141,節制,,節制
control,142,女祭司,,女祭司
control,143,XII. 吊人,,倒吊人
control,144,命運之輪,,命運之輪
control,145,命運之輪,,命運之輪
control,146,隱者,,隱者
control,147,隱者,,隱者
control,148,正義,,正義
control,149,隱者,,隱者
control,150,命運之輪,,命運之輪
control,151,正義,,正義
control,152,命運之輪,,命運之輪
control,153,戰車,,戰車
control,154,愚者,,愚者
control,155,正義,,正義
control,156,女祭司,,女祭司
control,157,命運之輪,,命運之輪
control,158,戀人,,戀人
control,159,隱者,,隱者
control,160,女教皇,,女祭司
control,161,魔術師,,魔術師
control,162,戰車,,戰車
control,163,戀人,,戀人
control,164,死神,,死神
control,165,命運之輪,,命運之輪
control,166,命運之輪,,命運之輪
control,167,皇帝。,,皇帝
control,168,力量,,力量
control,169,隱士,,隱者
control,170,愚者,,愚者
control,171,命運之輪。,,命運之輪
control,172,正義,,正義
control,173,節制（Temperance）,,節制
control,174,魔術師,,魔術師
control,175,戀人,,戀人
control,176,隱士,,隱者
control,177,隱士,,隱者
control,178,命運之輪。,,命運之輪
control,179,死神,,死神
control,180,死神,,死神
control,181,女祭司,,女祭司
control,182,正義,,正義
control,183,審判,,審判
control,184,世界,,世界
control,185,倒吊人,,倒吊人
control,186,正義,,正義
control,187,女祭司,,女祭司
control,188,魔術師,,魔術師
control,189,命運之輪,,命運之輪
control,190,皇帝,,皇帝
control,191,命運之輪。,,命運之輪
control,192,隱士,,隱者
control,193,女祭司,,女祭司
control,194,正義,,正義
control,195,隱者,,隱者
control,196,死神,,死神
control,197,正義,,正義
control,198,皇帝,,皇帝
control,199,女皇。,,皇后
control,200,世界,,世界
control,201,隱者,,隱者
control,202,月亮,,月亮
control,203,力量,,力量
control,204,教皇,,教皇
control,205,隨機抽到的牌是：力量。,,Other/Invalid
control,206,女教皇,,女祭司
control,207,「倒吊人」,,倒吊人
control,208,命運之輪（Wheel of Fortune）,,命運之輪
control,209,命運之輪。,,命運之輪
control,210,死神,,死神
control,211,命運之輪,,命運之輪
control,212,力量,,力量
control,213,死神,,死神
control,214,魔術師,,魔術師
control,215,隱者,,隱者
control,216,命運之輪,,命運之輪
control,217,力量,,力量
control,218,戰車,,戰車
control,219,皇帝,,皇帝
control,220,戀人,,戀人
control,221,世界,,世界
control,222,節制,,節制
control,223,死神,,死神
control,224,月亮,,月亮
control,225,命運之輪,,命運之輪
control,226,節制。,,節制
control,227,隨機牌：世界,,世界
control,228,正義,,正義
control,229,愚者,,愚者
control,230,魔術師,,魔術師
control,231,月亮,,月亮
control,232,命運之輪（The Wheel of Fortune）,,命運之輪
control,233,命運之輪,,命運之輪
control,234,女祭司,,女祭司
control,235,魔術師,,魔術師
control,236,命運之輪,,命運之輪
control,237,命運之輪,,命運之輪
control,238,命運之輪,,命運之輪
control,239,女祭司,,女祭司
control,240,命運之輪,,命運之輪
control,241,女祭司,,女祭司
control,242,塔羅牌名稱是：「愚者」,,Other/Invalid
control,243,世界,,世界
control,244,吊人,,倒吊人
control,245,死神,,死神
control,246,死亡牌,,死神
control,247,星星,,星星
control,248,教皇,,教皇
control,249,命運之輪,,命運之輪
control,250,命運之輪,,命運之輪
